"Date","Price","Open","High","Low","Vol.","Change %"
"05/05/2026","7,057.11","6,968.57","7,069.21","6,921.61","36.49B","1.22%"
"05/04/2026","6,971.95","6,988.92","7,069.69","6,946.06","55.33B","0.22%"
"04/30/2026","6,956.80","7,103.26","7,109.00","6,876.58","45.15B","-2.03%"
"04/29/2026","7,101.23","7,096.61","7,126.06","7,063.99","39.84B","0.41%"
"04/28/2026","7,072.39","7,128.47","7,151.51","7,032.98","27.29B","-0.48%"
"04/27/2026","7,106.52","7,158.51","7,230.03","7,106.52","29.26B","-0.32%"
"04/24/2026","7,129.49","7,378.07","7,383.40","7,115.97","41.58B","-3.38%"
"04/23/2026","7,378.61","7,564.42","7,582.50","7,378.61","50.35B","-2.16%"
"04/22/2026","7,541.61","7,528.34","7,578.05","7,513.94","45.93B","-0.24%"
"04/21/2026","7,559.38","7,560.29","7,568.99","7,511.83","40.56B","-0.46%"
"04/20/2026","7,594.11","7,663.40","7,692.15","7,570.42","37.53B","-0.52%"
"04/17/2026","7,634.00","7,645.81","7,673.86","7,607.96","35.99B","0.17%"
"04/16/2026","7,621.38","7,663.34","7,705.03","7,575.53","36.50B","-0.03%"
"04/15/2026","7,623.59","7,750.90","7,773.58","7,623.59","46.33B","-0.68%"
"04/14/2026","7,675.95","7,598.80","7,686.35","7,592.74","48.78B","2.34%"
"04/13/2026","7,500.19","7,410.08","7,527.87","7,351.36","37.40B","0.56%"
"04/10/2026","7,458.50","7,346.49","7,488.02","7,346.49","35.59B","2.07%"
"04/09/2026","7,307.59","7,238.46","7,308.58","7,191.59","25.86B","0.39%"
"04/08/2026","7,279.21","7,162.41","7,281.86","7,118.58","38.00B","4.42%"
"04/07/2026","6,971.03","7,001.28","7,022.04","6,942.63","22.57B","-0.26%"
"04/06/2026","6,989.43","7,001.56","7,009.23","6,934.89","25.26B","-0.53%"
"04/02/2026","7,026.78","7,153.11","7,161.80","7,019.23","22.53B","-2.19%"
"04/01/2026","7,184.44","7,149.25","7,207.17","7,136.25","29.54B","1.93%"
"03/31/2026","7,048.22","7,122.99","7,155.55","7,031.10","23.11B","-0.61%"
"03/30/2026","7,091.67","7,020.53","7,104.64","6,945.50","22.18B","-0.08%"
"03/27/2026","7,097.06","7,136.37","7,154.56","7,070.21","17.19B","-0.94%"
"03/26/2026","7,164.09","7,313.67","7,323.70","7,152.59","25.77B","-1.89%"
"03/25/2026","7,302.12","7,084.62","7,302.12","7,057.22","34.66B","2.75%"
"03/17/2026","7,106.84","7,074.61","7,148.25","7,059.89","22.69B","1.20%"
"03/16/2026","7,022.29","7,115.45","7,120.19","6,917.32","26.42B","-1.61%"
"03/13/2026","7,137.21","7,338.82","7,350.28","7,132.21","25.63B","-3.05%"
"03/12/2026","7,362.12","7,398.85","7,436.50","7,323.74","23.44B","-0.37%"
"03/11/2026","7,389.40","7,484.77","7,527.32","7,380.81","25.32B","-0.69%"
"03/10/2026","7,440.91","7,443.05","7,499.82","7,372.82","30.96B","1.41%"
"03/09/2026","7,337.37","7,374.31","7,403.73","7,156.68","40.62B","-3.27%"
"03/06/2026","7,585.69","7,699.47","7,700.32","7,500.08","29.11B","-1.62%"
"03/05/2026","7,710.54","7,695.35","7,765.61","7,678.53","30.39B","1.76%"
"03/04/2026","7,577.06","7,896.38","7,897.81","7,486.32","48.55B","-4.57%"
"03/03/2026","7,939.77","8,059.87","8,098.39","7,932.52","39.62B","-0.96%"
"03/02/2026","8,016.83","8,092.90","8,133.69","8,016.83","52.77B","-2.66%"
"02/27/2026","8,235.49","8,211.30","8,246.95","8,093.75","44.12B","0.00%"
"02/26/2026","8,235.26","8,351.36","8,358.96","8,139.82","45.03B","-1.04%"
"02/25/2026","8,322.23","8,318.14","8,373.48","8,259.75","44.18B","0.50%"
"02/24/2026","8,280.83","8,428.05","8,437.09","8,259.48","50.97B","-1.37%"
"02/23/2026","8,396.08","8,334.54","8,397.07","8,327.57","44.31B","1.50%"
"02/20/2026","8,271.77","8,300.22","8,328.42","8,236.75","40.03B","-0.03%"
"02/19/2026","8,274.08","8,357.45","8,376.20","8,251.81","43.54B","-0.43%"
"02/18/2026","8,310.23","8,235.81","8,310.23","8,227.45","45.90B","1.19%"
"02/13/2026","8,212.27","8,240.01","8,251.99","8,170.59","43.44B","-0.64%"
"02/12/2026","8,265.35","8,317.24","8,334.02","8,220.15","37.94B","-0.31%"
"02/11/2026","8,290.97","8,152.79","8,290.97","8,118.16","54.57B","1.96%"
"02/10/2026","8,131.74","8,031.58","8,140.86","8,011.13","37.45B","1.24%"
"02/09/2026","8,031.87","7,970.02","8,031.87","7,863.01","31.02B","1.22%"
"02/06/2026","7,935.26","7,945.04","8,025.14","7,861.69","31.22B","-2.08%"
"02/05/2026","8,103.88","8,154.60","8,214.46","8,102.79","32.36B","-0.53%"
"02/04/2026","8,146.72","8,121.03","8,194.68","8,050.40","40.46B","0.30%"
"02/03/2026","8,122.60","7,888.77","8,122.60","7,712.35","54.53B","2.52%"
"02/02/2026","7,922.73","8,306.16","8,313.06","7,820.23","44.50B","-4.88%"
"01/30/2026","8,329.61","8,308.72","8,408.30","8,167.16","47.86B","1.18%"
"01/29/2026","8,232.20","8,027.83","8,296.94","7,481.99","90.62B","-1.06%"
"01/28/2026","8,320.56","8,393.51","8,596.17","8,187.73","55.71B","-7.35%"
"01/27/2026","8,980.23","8,974.57","8,980.23","8,873.48","53.60B","0.05%"
"01/26/2026","8,975.33","8,967.73","9,058.05","8,923.53","49.18B","0.27%"
"01/23/2026","8,951.01","9,031.49","9,039.67","8,837.83","58.73B","-0.46%"
"01/22/2026","8,992.18","9,052.17","9,109.71","8,992.13","66.10B","-0.20%"
"01/21/2026","9,010.33","9,094.43","9,105.23","8,977.68","55.32B","-1.36%"
"01/20/2026","9,134.70","9,156.19","9,174.47","9,120.15","60.64B","0.01%"
"01/19/2026","9,133.87","9,098.70","9,133.87","9,026.00","54.16B","0.64%"
"01/15/2026","9,075.41","9,072.30","9,100.83","9,041.00","44.69B","0.47%"
"01/14/2026","9,032.58","9,007.05","9,049.30","8,979.60","58.07B","0.94%"
"01/13/2026","8,948.30","8,931.24","8,956.73","8,841.02","53.84B","0.72%"
"01/12/2026","8,884.72","8,991.76","9,000.97","8,715.41","69.79B","-0.58%"
"01/09/2026","8,936.75","8,969.15","8,981.02","8,908.17","49.95B","0.13%"
"01/08/2026","8,925.47","8,946.70","9,002.92","8,918.41","48.93B","-0.22%"
"01/07/2026","8,944.81","8,959.09","8,970.87","8,916.03","65.54B","0.13%"
"01/06/2026","8,933.61","8,890.72","8,940.11","8,839.01","63.04B","0.84%"
"01/05/2026","8,859.19","8,778.73","8,859.19","8,732.32","66.57B","1.27%"
"01/02/2026","8,748.13","8,676.74","8,748.13","8,664.97","47.19B","1.17%"
"12/30/2025","8,646.94","8,627.40","8,663.67","8,584.87","30.82B","0.03%"
"12/29/2025","8,644.26","8,545.72","8,652.18","8,545.72","33.43B","1.25%"
"12/24/2025","8,537.91","8,597.39","8,611.33","8,525.10","28.07B","-0.55%"
"12/23/2025","8,584.78","8,656.65","8,667.73","8,567.00","32.98B","-0.71%"
"12/22/2025","8,645.84","8,629.25","8,648.79","8,609.39","37.49B","0.42%"
"12/19/2025","8,609.55","8,657.24","8,671.77","8,562.89","30.72B","-0.10%"
"12/18/2025","8,618.20","8,705.14","8,730.71","8,618.20","32.86B","-0.68%"
"12/17/2025","8,677.34","8,708.33","8,729.47","8,660.75","34.20B","-0.11%"
"12/16/2025","8,686.47","8,696.70","8,700.86","8,611.35","43.10B","0.43%"
"12/15/2025","8,649.66","8,705.24","8,720.68","8,622.99","55.35B","-0.13%"
"12/12/2025","8,660.50","8,651.77","8,680.04","8,585.42","45.73B","0.46%"
"12/11/2025","8,620.48","8,764.09","8,776.97","8,560.11","66.72B","-0.92%"
"12/10/2025","8,700.92","8,713.71","8,720.88","8,668.61","62.38B","0.51%"
"12/09/2025","8,657.18","8,743.21","8,749.26","8,626.85","49.87B","-0.61%"
"12/08/2025","8,710.70","8,676.73","8,720.09","8,642.06","52.59B","0.90%"
"12/05/2025","8,632.76","8,658.89","8,689.10","8,617.04","42.15B","-0.09%"
"12/04/2025","8,640.20","8,646.65","8,650.30","8,606.90","44.73B","0.33%"
"12/03/2025","8,611.79","8,655.02","8,669.19","8,591.81","43.21B","-0.06%"
"12/02/2025","8,617.04","8,577.61","8,625.64","8,564.70","40.51B","0.80%"
"12/01/2025","8,548.79","8,541.54","8,553.62","8,493.25","43.36B","0.47%"
"11/28/2025","8,508.71","8,555.66","8,572.36","8,495.21","38.64B","-0.43%"
"11/27/2025","8,545.87","8,611.33","8,622.27","8,521.50","46.36B","-0.65%"
"11/26/2025","8,602.13","8,533.89","8,602.13","8,503.15","49.86B","0.94%"
"11/25/2025","8,521.88","8,570.85","8,574.38","8,487.22","41.41B","-0.56%"
"11/24/2025","8,570.25","8,458.29","8,570.25","8,429.46","47.16B","1.85%"
"11/21/2025","8,414.35","8,403.90","8,432.60","8,361.27","28.90B","-0.07%"
"11/20/2025","8,419.92","8,449.54","8,491.43","8,419.92","31.91B","0.16%"
"11/19/2025","8,406.58","8,384.36","8,426.63","8,375.58","39.45B","0.53%"
"11/18/2025","8,361.93","8,427.40","8,442.87","8,341.90","37.48B","-0.65%"
"11/17/2025","8,416.88","8,397.84","8,452.33","8,392.00","38.21B","0.55%"
"11/14/2025","8,370.44","8,378.13","8,417.13","8,360.94","42.28B","-0.02%"
"11/13/2025","8,372.00","8,412.83","8,418.16","8,354.84","53.42B","-0.20%"
"11/12/2025","8,388.57","8,392.28","8,428.95","8,377.50","49.11B","0.26%"
"11/11/2025","8,366.51","8,437.96","8,443.69","8,338.40","67.79B","-0.29%"
"11/10/2025","8,391.24","8,443.32","8,478.15","8,391.24","41.59B","-0.04%"
"11/07/2025","8,394.59","8,346.58","8,398.76","8,332.60","22.75B","0.69%"
"11/06/2025","8,337.06","8,354.68","8,362.92","8,289.89","22.92B","0.22%"
"11/05/2025","8,318.53","8,213.60","8,318.53","8,181.90","33.38B","0.93%"
"11/04/2025","8,241.91","8,275.95","8,317.08","8,225.91","25.46B","-0.40%"
"11/03/2025","8,275.08","8,208.03","8,282.16","8,201.36","10.10B","1.36%"
"10/31/2025","8,163.88","8,202.52","8,215.55","8,144.08","24.54B","-0.25%"
"10/30/2025","8,184.06","8,176.36","8,231.88","8,145.60","32.67B","0.22%"
"10/29/2025","8,166.22","8,107.38","8,169.14","8,042.63","24.83B","0.91%"
"10/28/2025","8,092.63","8,144.42","8,151.33","8,039.85","28.29B","-0.30%"
"10/27/2025","8,117.15","8,322.22","8,354.67","7,959.17","35.90B","-1.87%"
"10/24/2025","8,271.72","8,294.89","8,351.06","8,271.72","23.82B","-0.03%"
"10/23/2025","8,274.35","8,179.88","8,292.89","8,179.61","28.16B","1.49%"
"10/22/2025","8,152.55","8,235.70","8,261.84","8,141.99","27.54B","-1.04%"
"10/21/2025","8,238.08","8,165.69","8,238.08","8,161.19","28.18B","1.84%"
"10/20/2025","8,088.98","7,988.45","8,117.27","7,937.38","30.76B","2.19%"
"10/17/2025","7,915.66","8,132.75","8,140.60","7,854.31","35.37B","-2.57%"
"10/16/2025","8,124.76","8,064.68","8,148.04","8,030.78","24.66B","0.91%"
