Unnamed: 0,date,sentiment_index_lexicon,Positif_lexicon,Netral_lexicon,Negatif_lexicon,sentiment_index_indobert,Positif_indobert,Netral_indobert,Negatif_indobert,Price,Open,High,Low,Vol.,Change %,return,trend
0,2025-09-08,-2,0,0,2,-2,0,0,2,7766.85,"7,929.06","7,934.99","7,766.85",33.68B,-1.28%,-1.2774314095597594,Turun
1,2025-09-09,1,3,0,2,0,2,1,2,7628.6,"7,748.51","7,791.33","7,619.72",33.54B,-1.78%,-1.7800009012662763,Turun
2,2025-09-10,0,0,1,0,0,0,1,0,7699.01,"7,682.42","7,726.38","7,661.28",26.32B,0.92%,0.9229740712581648,Naik
3,2025-09-12,1,1,1,0,1,1,1,0,7854.06,"7,819.00","7,854.81","7,790.79",28.96B,1.37%,1.3701777255772596,Naik
5,2025-09-15,0,0,1,0,0,0,1,0,7937.12,"7,891.26","7,937.12","7,889.19",34.51B,1.06%,1.0575422138358936,Naik
6,2025-09-16,0,0,1,0,0,0,1,0,7957.7,"7,979.32","7,985.58","7,899.67",40.14B,0.26%,0.2592880037091571,Naik
7,2025-09-17,1,1,0,0,1,1,0,0,8025.18,"7,964.42","8,025.18","7,940.51",32.37B,0.85%,0.8479837138871904,Naik
9,2025-09-22,1,1,0,0,1,1,0,0,8040.04,"8,082.26","8,087.93","8,005.35",34.55B,-0.14%,-0.1376206043382732,Turun
10,2025-10-01,-1,0,0,1,1,1,0,0,8043.82,"8,069.94","8,093.69","8,034.25",53.67B,-0.21%,-0.2138676551222906,Turun
11,2025-10-06,-1,0,0,1,-1,0,0,1,8139.89,"8,155.37","8,176.31","8,104.55",42.95B,0.27%,0.2659423770986491,Naik
12,2025-10-09,0,0,1,0,1,1,0,0,8250.94,"8,187.70","8,272.63","8,159.94",34.72B,1.04%,1.0397953473107568,Naik
14,2025-10-13,0,0,1,0,0,0,1,0,8227.2,"8,169.65","8,288.28","8,133.63",36.69B,-0.37%,-0.3712826325464435,Turun
15,2025-10-14,0,1,4,1,0,1,4,1,8066.52,"8,269.48","8,284.91","7,974.03",44.05B,-1.95%,-1.9530338389731616,Turun
16,2025-10-15,-1,0,0,1,-1,0,0,1,8051.17,"8,107.30","8,132.52","7,936.37",32.91B,-0.19%,-0.1902927160659207,Turun
17,2025-10-16,1,1,1,0,1,1,1,0,8124.76,"8,064.68","8,148.04","8,030.78",24.66B,0.91%,0.914028644284004,Naik
18,2025-10-17,0,0,3,0,0,0,3,0,7915.66,"8,132.75","8,140.60","7,854.31",35.37B,-2.57%,-2.573614482150865,Turun
20,2025-10-20,1,1,0,0,1,1,0,0,8088.98,"7,988.45","8,117.27","7,937.38",30.76B,2.19%,2.189583686009744,Naik
21,2025-10-22,0,0,1,0,0,0,1,0,8152.55,"8,235.70","8,261.84","8,141.99",27.54B,-1.04%,-1.0382273539465523,Turun
23,2025-10-27,1,1,3,0,1,1,3,0,8117.15,"8,322.22","8,354.67","7,959.17",35.90B,-1.87%,-1.8686560957092315,Turun
24,2025-10-28,0,0,1,0,-1,0,0,1,8092.63,"8,144.42","8,151.33","8,039.85",28.29B,-0.30%,-0.3020764677257315,Turun
25,2025-10-29,3,3,2,0,3,3,2,0,8166.22,"8,107.38","8,169.14","8,042.63",24.83B,0.91%,0.909345911032622,Naik
26,2025-10-30,1,1,0,0,1,1,0,0,8184.06,"8,176.36","8,231.88","8,145.60",32.67B,0.22%,0.2184609280670768,Naik
27,2025-10-31,0,0,1,0,0,0,1,0,8163.88,"8,202.52","8,215.55","8,144.08",24.54B,-0.25%,-0.2465768823786795,Turun
29,2025-11-03,1,2,1,1,1,2,1,1,8275.08,"8,208.03","8,282.16","8,201.36",10.10B,1.36%,1.3620974340632142,Naik
30,2025-11-04,0,0,1,0,0,0,1,0,8241.91,"8,275.95","8,317.08","8,225.91",25.46B,-0.40%,-0.4008420462400353,Turun
31,2025-11-05,1,1,1,0,1,1,1,0,8318.53,"8,213.60","8,318.53","8,181.90",33.38B,0.93%,0.9296388822493952,Naik
32,2025-11-07,0,0,2,0,0,0,2,0,8394.59,"8,346.58","8,398.76","8,332.60",22.75B,0.69%,0.6900514090099064,Naik
34,2025-11-12,0,0,2,0,1,1,1,0,8388.57,"8,392.28","8,428.95","8,377.50",49.11B,0.26%,0.2636702758975984,Naik
35,2025-11-13,0,0,1,0,0,0,1,0,8372.0,"8,412.83","8,418.16","8,354.84",53.42B,-0.20%,-0.1975306875903748,Turun
36,2025-11-17,1,1,0,0,1,1,0,0,8416.88,"8,397.84","8,452.33","8,392.00",38.21B,0.55%,0.5548095440621736,Naik
37,2025-11-18,-1,0,0,1,-1,0,0,1,8361.93,"8,427.40","8,442.87","8,341.90",37.48B,-0.65%,-0.652854739523423,Turun
38,2025-11-21,2,2,0,0,2,2,0,0,8414.35,"8,403.90","8,432.60","8,361.27",28.90B,-0.07%,-0.0661526475310925,Turun
40,2025-11-24,0,0,1,0,0,0,1,0,8570.25,"8,458.29","8,570.25","8,429.46",47.16B,1.85%,1.8527872028142325,Naik
41,2025-11-25,0,0,2,0,0,0,2,0,8521.88,"8,570.85","8,574.38","8,487.22",41.41B,-0.56%,-0.5643942708789207,Turun
42,2025-11-27,1,1,0,0,1,1,0,0,8545.87,"8,611.33","8,622.27","8,521.50",46.36B,-0.65%,-0.6540240614824278,Turun
43,2025-11-28,0,0,2,0,1,1,1,0,8508.71,"8,555.66","8,572.36","8,495.21",38.64B,-0.43%,-0.4348299236941577,Turun
44,2025-12-02,-1,0,0,1,0,0,1,0,8617.04,"8,577.61","8,625.64","8,564.70",40.51B,0.80%,0.798358598117388,Naik
45,2025-12-03,0,0,1,0,0,0,1,0,8611.79,"8,655.02","8,669.19","8,591.81",43.21B,-0.06%,-0.0609257935439533,Turun
46,2025-12-04,0,0,1,0,0,0,1,0,8640.2,"8,646.65","8,650.30","8,606.90",44.73B,0.33%,0.3298965720250901,Naik
47,2025-12-05,0,0,1,0,1,1,0,0,8632.76,"8,658.89","8,689.10","8,617.04",42.15B,-0.09%,-0.0861091178445017,Turun
49,2025-12-10,0,0,1,0,1,1,0,0,8700.92,"8,713.71","8,720.88","8,668.61",62.38B,0.51%,0.5052453570331128,Naik
50,2025-12-11,-2,0,0,2,-1,0,1,1,8620.48,"8,764.09","8,776.97","8,560.11",66.72B,-0.92%,-0.9244999379376062,Turun
51,2025-12-12,1,1,2,0,1,1,2,0,8660.5,"8,651.77","8,680.04","8,585.42",45.73B,0.46%,0.4642432903968263,Naik
54,2025-12-15,-1,0,0,1,-1,0,0,1,8649.66,"8,705.24","8,720.68","8,622.99",55.35B,-0.13%,-0.1251659834882512,Turun
55,2025-12-16,1,1,1,0,1,1,1,0,8686.47,"8,696.70","8,700.86","8,611.35",43.10B,0.43%,0.4255658603921963,Naik
56,2025-12-18,-1,0,0,1,-1,0,0,1,8618.2,"8,705.14","8,730.71","8,618.20",32.86B,-0.68%,-0.6815452661760313,Turun
57,2025-12-19,1,1,1,0,0,0,2,0,8609.55,"8,657.24","8,671.77","8,562.89",30.72B,-0.10%,-0.1003689865633372,Turun
60,2025-12-22,0,0,1,0,0,0,1,0,8645.84,"8,629.25","8,648.79","8,609.39",37.49B,0.42%,0.4215086735079199,Naik
61,2025-12-23,-2,0,1,2,0,0,3,0,8584.78,"8,656.65","8,667.73","8,567.00",32.98B,-0.71%,-0.7062356000110959,Turun
62,2025-12-24,1,1,0,0,1,1,0,0,8537.91,"8,597.39","8,611.33","8,525.10",28.07B,-0.55%,-0.5459662332639947,Turun
66,2025-12-29,-1,0,0,1,-1,0,0,1,8644.26,"8,545.72","8,652.18","8,545.72",33.43B,1.25%,1.245621000924113,Naik
67,2025-12-30,-1,0,1,1,1,1,1,0,8646.94,"8,627.40","8,663.67","8,584.87",30.82B,0.03%,0.0310032322026421,Naik
70,2026-01-02,1,1,0,0,1,1,0,0,8748.13,"8,676.74","8,748.13","8,664.97",47.19B,1.17%,1.170240570652714,Naik
73,2026-01-06,0,0,1,0,0,0,1,0,8933.61,"8,890.72","8,940.11","8,839.01",63.04B,0.84%,0.8400316507491068,Naik
74,2026-01-07,-1,0,0,1,-1,0,0,1,8944.81,"8,959.09","8,970.87","8,916.03",65.54B,0.13%,0.1253692516239191,Naik
75,2026-01-08,1,3,5,2,-1,2,5,3,8925.47,"8,946.70","9,002.92","8,918.41",48.93B,-0.22%,-0.2162147658809954,Turun
76,2026-01-09,4,4,1,0,4,4,1,0,8936.75,"8,969.15","8,981.02","8,908.17",49.95B,0.13%,0.1263798993218268,Naik
79,2026-01-12,-3,3,7,6,-4,4,4,8,8884.72,"8,991.76","9,000.97","8,715.41",69.79B,-0.58%,-0.5822027023246745,Turun
80,2026-01-13,-2,2,4,4,-1,2,5,3,8948.3,"8,931.24","8,956.73","8,841.02",53.84B,0.72%,0.715610621381435,Naik
81,2026-01-14,2,2,2,0,2,2,2,0,9032.58,"9,007.05","9,049.30","8,979.60",58.07B,0.94%,0.9418548774627666,Naik
82,2026-01-15,1,2,2,1,1,2,2,1,9075.41,"9,072.30","9,100.83","9,041.00",44.69B,0.47%,0.47417238485572,Naik
86,2026-01-19,2,2,2,0,2,2,2,0,9133.87,"9,098.70","9,133.87","9,026.00",54.16B,0.64%,0.6441582253584155,Naik
87,2026-01-20,0,1,2,1,0,1,2,1,9134.7,"9,156.19","9,174.47","9,120.15",60.64B,0.01%,0.0090870572933443,Naik
88,2026-01-21,-1,3,5,4,1,5,3,4,9010.33,"9,094.43","9,105.23","8,977.68",55.32B,-1.36%,-1.3615115986294055,Turun
89,2026-01-22,0,2,3,2,0,2,3,2,8992.18,"9,052.17","9,109.71","8,992.13",66.10B,-0.20%,-0.2014354635179849,Turun
90,2026-01-23,2,4,5,2,2,4,5,2,8951.01,"9,031.49","9,039.67","8,837.83",58.73B,-0.46%,-0.4578422584957109,Turun
93,2026-01-26,-1,1,1,2,0,1,2,1,8975.33,"8,967.73","9,058.05","8,923.53",49.18B,0.27%,0.2717011823246684,Naik
94,2026-01-27,0,0,2,0,0,0,2,0,8980.23,"8,974.57","8,980.23","8,873.48",53.60B,0.05%,0.0545940929191468,Naik
95,2026-01-28,-7,23,33,30,-16,16,38,32,8320.56,"8,393.51","8,596.17","8,187.73",55.71B,-7.35%,-7.345802947140556,Turun
96,2026-01-29,8,17,33,9,9,19,30,10,8232.2,"8,027.83","8,296.94","7,481.99",90.62B,-1.06%,-1.0619477535165789,Turun
97,2026-01-30,-1,3,6,4,-1,2,8,3,8329.61,"8,308.72","8,408.30","8,167.16",47.86B,1.18%,1.1832802895945127,Naik
100,2026-02-02,-2,13,20,15,-10,6,26,16,7922.73,"8,306.16","8,313.06","7,820.23",44.50B,-4.88%,-4.884742502950335,Turun
101,2026-02-03,3,7,4,4,3,7,4,4,8122.6,"7,888.77","8,122.60","7,712.35",54.53B,2.52%,2.522741529750494,Naik
102,2026-02-04,-2,1,2,3,0,2,2,2,8146.72,"8,121.03","8,194.68","8,050.40",40.46B,0.30%,0.2969492527023387,Naik
103,2026-02-05,2,4,4,2,1,4,3,3,8103.88,"8,154.60","8,214.46","8,102.79",32.36B,-0.53%,-0.5258558045446504,Turun
104,2026-02-06,-3,9,7,12,-3,8,9,11,7935.26,"7,945.04","8,025.14","7,861.69",31.22B,-2.08%,-2.080731698889915,Turun
107,2026-02-09,-1,2,3,3,-1,3,1,4,8031.87,"7,970.02","8,031.87","7,863.01",31.02B,1.22%,1.217477436152059,Naik
108,2026-02-10,-2,1,4,3,-1,1,5,2,8131.74,"8,031.58","8,140.86","8,011.13",37.45B,1.24%,1.2434215195216147,Naik
109,2026-02-11,1,3,4,2,2,4,3,2,8290.97,"8,152.79","8,290.97","8,118.16",54.57B,1.96%,1.958129502418915,Naik
110,2026-02-12,2,5,6,3,1,5,5,4,8265.35,"8,317.24","8,334.02","8,220.15",37.94B,-0.31%,-0.3090108877489506,Turun
111,2026-02-13,-2,2,3,4,-2,2,3,4,8212.27,"8,240.01","8,251.99","8,170.59",43.44B,-0.64%,-0.6421990599309146,Turun
116,2026-02-18,2,2,0,0,2,2,0,0,8310.23,"8,235.81","8,310.23","8,227.45",45.90B,1.19%,1.1928492365691712,Naik
117,2026-02-19,0,0,1,0,0,0,1,0,8274.08,"8,357.45","8,376.20","8,251.81",43.54B,-0.43%,-0.435006010663963,Turun
118,2026-02-20,0,2,3,2,0,2,3,2,8271.77,"8,300.22","8,328.42","8,236.75",40.03B,-0.03%,-0.0279185117861957,Turun
120,2026-02-23,1,1,3,0,1,1,3,0,8396.08,"8,334.54","8,397.07","8,327.57",44.31B,1.50%,1.502822249651525,Naik
121,2026-02-24,-2,1,3,3,-4,0,3,4,8280.83,"8,428.05","8,437.09","8,259.48",50.97B,-1.37%,-1.3726643862373875,Turun
122,2026-02-25,2,4,0,2,2,4,0,2,8322.23,"8,318.14","8,373.48","8,259.75",44.18B,0.50%,0.4999498842507277,Naik
123,2026-02-26,1,4,2,3,0,3,3,3,8235.26,"8,351.36","8,358.96","8,139.82",45.03B,-1.04%,-1.0450324011713086,Turun
124,2026-02-27,3,4,1,1,1,3,1,2,8235.49,"8,211.30","8,246.95","8,093.75",44.12B,0.00%,0.0027928687132972,Naik
127,2026-03-02,3,4,0,1,3,3,2,0,8016.83,"8,092.90","8,133.69","8,016.83",52.77B,-2.66%,-2.655093989550106,Turun
128,2026-03-03,4,5,8,1,3,5,7,2,7939.77,"8,059.87","8,098.39","7,932.52",39.62B,-0.96%,-0.961227816980026,Turun
129,2026-03-04,-1,7,6,8,0,8,5,8,7577.06,"7,896.38","7,897.81","7,486.32",48.55B,-4.57%,-4.568268350342642,Turun
130,2026-03-05,6,8,2,2,6,8,2,2,7710.54,"7,695.35","7,765.61","7,678.53",30.39B,1.76%,1.7616331400305496,Naik
131,2026-03-06,-7,3,12,10,-8,3,11,11,7585.69,"7,699.47","7,700.32","7,500.08",29.11B,-1.62%,-1.6192121433777684,Turun
134,2026-03-09,3,11,10,8,0,9,11,9,7337.37,"7,374.31","7,403.73","7,156.68",40.62B,-3.27%,-3.27353213748518,Turun
135,2026-03-10,1,3,4,2,0,3,3,3,7440.91,"7,443.05","7,499.82","7,372.82",30.96B,1.41%,1.411132326705622,Naik
