Date,Price,Open,High,Low,Vol.,Change %,return,trend
2025-08-11,7605.92,"7,589.46","7,630.11","7,559.35",23.83B,0.96%,,Awal
2025-08-12,7791.7,"7,666.09","7,800.83","7,646.91",27.24B,2.44%,2.4425710499190068,Naik
2025-08-13,7892.91,"7,846.12","7,903.05","7,835.30",32.40B,1.30%,1.2989463146681812,Naik
2025-08-14,7931.25,"7,909.02","7,973.98","7,905.55",36.18B,0.49%,0.4857524031060878,Naik
2025-08-15,7898.38,"7,967.77","8,017.07","7,898.37",34.69B,-0.41%,-0.4144365642237968,Turun
2025-08-19,7862.95,"7,905.35","7,931.76","7,854.10",35.83B,-0.45%,-0.44857299851361887,Turun
2025-08-20,7943.83,"7,874.90","7,952.34","7,863.86",37.50B,1.03%,1.0286215733280812,Naik
2025-08-21,7890.71,"7,903.29","7,932.31","7,848.88",34.14B,-0.67%,-0.6686950752974319,Turun
2025-08-22,7858.85,"7,910.10","7,913.39","7,858.85",32.02B,-0.40%,-0.4037659475509714,Turun
2025-08-25,7926.91,"7,921.02","7,951.98","7,915.05",37.63B,0.87%,0.8660300171144497,Naik
2025-08-26,7905.76,"7,971.79","7,978.07","7,881.21",50.49B,-0.27%,-0.26681266723098673,Turun
2025-08-27,7936.18,"7,923.00","7,945.44","7,894.76",35.76B,0.38%,0.3847827406852744,Naik
2025-08-28,7952.09,"7,951.87","8,022.76","7,941.94",39.93B,0.20%,0.20047428359739605,Naik
2025-08-29,7830.49,"7,899.89","7,913.86","7,765.60",48.13B,-1.53%,-1.5291577434360049,Turun
2025-09-01,7736.07,"7,620.10","7,783.42","7,547.56",35.87B,-1.21%,-1.2057993816478874,Turun
2025-09-02,7801.58,"7,771.33","7,842.30","7,771.33",34.78B,0.85%,0.8468123995775567,Naik
2025-09-03,7885.86,"7,843.63","7,911.62","7,840.75",35.17B,1.08%,1.080293991729886,Naik
2025-09-04,7867.35,"7,873.84","7,899.80","7,855.74",36.23B,-0.23%,-0.23472392357966054,Turun
2025-09-08,7766.85,"7,929.06","7,934.99","7,766.85",33.68B,-1.28%,-1.2774314095597594,Turun
2025-09-09,7628.6,"7,748.51","7,791.33","7,619.72",33.54B,-1.78%,-1.7800009012662765,Turun
2025-09-10,7699.01,"7,682.42","7,726.38","7,661.28",26.32B,0.92%,0.9229740712581647,Naik
2025-09-11,7747.9,"7,781.17","7,819.10","7,742.60",28.98B,0.64%,0.6350167099406168,Naik
2025-09-12,7854.06,"7,819.00","7,854.81","7,790.79",28.96B,1.37%,1.3701777255772596,Naik
2025-09-15,7937.12,"7,891.26","7,937.12","7,889.19",34.51B,1.06%,1.0575422138358936,Naik
2025-09-16,7957.7,"7,979.32","7,985.58","7,899.67",40.14B,0.26%,0.25928800370915717,Naik
2025-09-17,8025.18,"7,964.42","8,025.18","7,940.51",32.37B,0.85%,0.8479837138871904,Naik
2025-09-18,8008.43,"8,065.74","8,068.01","7,993.52",37.82B,-0.21%,-0.2087180599064431,Turun
2025-09-19,8051.12,"7,996.20","8,051.12","7,983.36",42.36B,0.53%,0.5330632845638839,Naik
2025-09-22,8040.04,"8,082.26","8,087.93","8,005.35",34.55B,-0.14%,-0.13762060433827328,Turun
2025-09-23,8125.2,"8,066.29","8,125.20","8,039.95",51.87B,1.06%,1.0591987104541678,Naik
2025-09-24,8126.56,"8,161.28","8,169.02","8,077.84",45.44B,0.02%,0.01673804952493363,Naik
2025-09-25,8040.67,"8,130.02","8,146.09","8,022.98",48.39B,-1.06%,-1.0569047665925146,Turun
2025-09-26,8099.33,"8,051.76","8,099.33","8,035.00",35.20B,0.73%,0.7295411949501673,Naik
2025-09-29,8123.25,"8,139.58","8,157.33","8,100.02",43.95B,0.30%,0.2953330707601731,Naik
2025-09-30,8061.06,"8,137.63","8,150.34","8,042.82",46.17B,-0.77%,-0.7655802788292809,Turun
2025-10-01,8043.82,"8,069.94","8,093.69","8,034.25",53.67B,-0.21%,-0.21386765512229067,Turun
2025-10-02,8071.08,"8,070.42","8,109.44","8,059.05",40.23B,0.34%,0.33889370970510146,Naik
2025-10-03,8118.3,"8,099.65","8,118.30","8,076.60",42.80B,0.59%,0.5850518146270467,Naik
2025-10-06,8139.89,"8,155.37","8,176.31","8,104.55",42.95B,0.27%,0.2659423770986491,Naik
2025-10-07,8169.28,"8,182.66","8,217.05","8,153.71",42.69B,0.36%,0.36106139026448325,Naik
2025-10-08,8166.03,"8,201.14","8,224.64","8,044.93",35.53B,-0.04%,-0.039783187747266524,Turun
2025-10-09,8250.94,"8,187.70","8,272.63","8,159.94",34.72B,1.04%,1.0397953473107568,Naik
2025-10-10,8257.86,"8,259.08","8,270.33","8,194.05",36.63B,0.08%,0.08386923186933792,Naik
2025-10-13,8227.2,"8,169.65","8,288.28","8,133.63",36.69B,-0.37%,-0.37128263254644356,Turun
2025-10-14,8066.52,"8,269.48","8,284.91","7,974.03",44.05B,-1.95%,-1.9530338389731616,Turun
2025-10-15,8051.17,"8,107.30","8,132.52","7,936.37",32.91B,-0.19%,-0.1902927160659207,Turun
2025-10-16,8124.76,"8,064.68","8,148.04","8,030.78",24.66B,0.91%,0.914028644284004,Naik
2025-10-17,7915.66,"8,132.75","8,140.60","7,854.31",35.37B,-2.57%,-2.5736144821508655,Turun
2025-10-20,8088.98,"7,988.45","8,117.27","7,937.38",30.76B,2.19%,2.189583686009744,Naik
2025-10-21,8238.08,"8,165.69","8,238.08","8,161.19",28.18B,1.84%,1.8432484689046236,Naik
2025-10-22,8152.55,"8,235.70","8,261.84","8,141.99",27.54B,-1.04%,-1.0382273539465525,Turun
2025-10-23,8274.35,"8,179.88","8,292.89","8,179.61",28.16B,1.49%,1.4940110762890146,Naik
2025-10-24,8271.72,"8,294.89","8,351.06","8,271.72",23.82B,-0.03%,-0.03178497404631164,Turun
2025-10-27,8117.15,"8,322.22","8,354.67","7,959.17",35.90B,-1.87%,-1.8686560957092313,Turun
2025-10-28,8092.63,"8,144.42","8,151.33","8,039.85",28.29B,-0.30%,-0.3020764677257315,Turun
2025-10-29,8166.22,"8,107.38","8,169.14","8,042.63",24.83B,0.91%,0.9093459110326219,Naik
2025-10-30,8184.06,"8,176.36","8,231.88","8,145.60",32.67B,0.22%,0.21846092806707684,Naik
2025-10-31,8163.88,"8,202.52","8,215.55","8,144.08",24.54B,-0.25%,-0.24657688237867958,Turun
2025-11-03,8275.08,"8,208.03","8,282.16","8,201.36",10.10B,1.36%,1.3620974340632142,Naik
2025-11-04,8241.91,"8,275.95","8,317.08","8,225.91",25.46B,-0.40%,-0.4008420462400353,Turun
2025-11-05,8318.53,"8,213.60","8,318.53","8,181.90",33.38B,0.93%,0.9296388822493951,Naik
2025-11-06,8337.06,"8,354.68","8,362.92","8,289.89",22.92B,0.22%,0.2227557032312033,Naik
2025-11-07,8394.59,"8,346.58","8,398.76","8,332.60",22.75B,0.69%,0.6900514090099064,Naik
2025-11-10,8391.24,"8,443.32","8,478.15","8,391.24",41.59B,-0.04%,-0.03990665416655492,Turun
2025-11-11,8366.51,"8,437.96","8,443.69","8,338.40",67.79B,-0.29%,-0.29471210452804986,Turun
2025-11-12,8388.57,"8,392.28","8,428.95","8,377.50",49.11B,0.26%,0.2636702758975984,Naik
2025-11-13,8372.0,"8,412.83","8,418.16","8,354.84",53.42B,-0.20%,-0.19753068759037484,Turun
2025-11-14,8370.44,"8,378.13","8,417.13","8,360.94",42.28B,-0.02%,-0.018633540372670065,Turun
2025-11-17,8416.88,"8,397.84","8,452.33","8,392.00",38.21B,0.55%,0.5548095440621736,Naik
2025-11-18,8361.93,"8,427.40","8,442.87","8,341.90",37.48B,-0.65%,-0.652854739523423,Turun
2025-11-19,8406.58,"8,384.36","8,426.63","8,375.58",39.45B,0.53%,0.5339676366580504,Naik
2025-11-20,8419.92,"8,449.54","8,491.43","8,419.92",31.91B,0.16%,0.15868522038688937,Naik
2025-11-21,8414.35,"8,403.90","8,432.60","8,361.27",28.90B,-0.07%,-0.06615264753109251,Turun
2025-11-24,8570.25,"8,458.29","8,570.25","8,429.46",47.16B,1.85%,1.8527872028142323,Naik
2025-11-25,8521.88,"8,570.85","8,574.38","8,487.22",41.41B,-0.56%,-0.5643942708789207,Turun
2025-11-26,8602.13,"8,533.89","8,602.13","8,503.15",49.86B,0.94%,0.94169361690144,Naik
2025-11-27,8545.87,"8,611.33","8,622.27","8,521.50",46.36B,-0.65%,-0.6540240614824278,Turun
2025-11-28,8508.71,"8,555.66","8,572.36","8,495.21",38.64B,-0.43%,-0.43482992369415774,Turun
2025-12-01,8548.79,"8,541.54","8,553.62","8,493.25",43.36B,0.47%,0.47104672741229425,Naik
2025-12-02,8617.04,"8,577.61","8,625.64","8,564.70",40.51B,0.80%,0.798358598117388,Naik
2025-12-03,8611.79,"8,655.02","8,669.19","8,591.81",43.21B,-0.06%,-0.06092579354395333,Turun
2025-12-04,8640.2,"8,646.65","8,650.30","8,606.90",44.73B,0.33%,0.32989657202509015,Naik
2025-12-05,8632.76,"8,658.89","8,689.10","8,617.04",42.15B,-0.09%,-0.0861091178445017,Turun
2025-12-08,8710.7,"8,676.73","8,720.09","8,642.06",52.59B,0.90%,0.9028398797140236,Naik
2025-12-09,8657.18,"8,743.21","8,749.26","8,626.85",49.87B,-0.61%,-0.6144167518109978,Turun
2025-12-10,8700.92,"8,713.71","8,720.88","8,668.61",62.38B,0.51%,0.5052453570331128,Naik
2025-12-11,8620.48,"8,764.09","8,776.97","8,560.11",66.72B,-0.92%,-0.9244999379376062,Turun
2025-12-12,8660.5,"8,651.77","8,680.04","8,585.42",45.73B,0.46%,0.4642432903968263,Naik
2025-12-15,8649.66,"8,705.24","8,720.68","8,622.99",55.35B,-0.13%,-0.12516598348825125,Turun
2025-12-16,8686.47,"8,696.70","8,700.86","8,611.35",43.10B,0.43%,0.42556586039219635,Naik
2025-12-17,8677.34,"8,708.33","8,729.47","8,660.75",34.20B,-0.11%,-0.10510598666660931,Turun
2025-12-18,8618.2,"8,705.14","8,730.71","8,618.20",32.86B,-0.68%,-0.6815452661760313,Turun
2025-12-19,8609.55,"8,657.24","8,671.77","8,562.89",30.72B,-0.10%,-0.10036898656333726,Turun
2025-12-22,8645.84,"8,629.25","8,648.79","8,609.39",37.49B,0.42%,0.4215086735079199,Naik
2025-12-23,8584.78,"8,656.65","8,667.73","8,567.00",32.98B,-0.71%,-0.7062356000110959,Turun
2025-12-24,8537.91,"8,597.39","8,611.33","8,525.10",28.07B,-0.55%,-0.5459662332639947,Turun
2025-12-29,8644.26,"8,545.72","8,652.18","8,545.72",33.43B,1.25%,1.245621000924113,Naik
2025-12-30,8646.94,"8,627.40","8,663.67","8,584.87",30.82B,0.03%,0.031003232202642117,Naik
2026-01-02,8748.13,"8,676.74","8,748.13","8,664.97",47.19B,1.17%,1.1702405706527141,Naik
2026-01-05,8859.19,"8,778.73","8,859.19","8,732.32",66.57B,1.27%,1.2695284592250111,Naik
2026-01-06,8933.61,"8,890.72","8,940.11","8,839.01",63.04B,0.84%,0.8400316507491068,Naik
2026-01-07,8944.81,"8,959.09","8,970.87","8,916.03",65.54B,0.13%,0.1253692516239191,Naik
2026-01-08,8925.47,"8,946.70","9,002.92","8,918.41",48.93B,-0.22%,-0.21621476588099542,Turun
2026-01-09,8936.75,"8,969.15","8,981.02","8,908.17",49.95B,0.13%,0.1263798993218268,Naik
2026-01-12,8884.72,"8,991.76","9,000.97","8,715.41",69.79B,-0.58%,-0.5822027023246745,Turun
2026-01-13,8948.3,"8,931.24","8,956.73","8,841.02",53.84B,0.72%,0.715610621381435,Naik
2026-01-14,9032.58,"9,007.05","9,049.30","8,979.60",58.07B,0.94%,0.9418548774627666,Naik
2026-01-15,9075.41,"9,072.30","9,100.83","9,041.00",44.69B,0.47%,0.47417238485572,Naik
2026-01-19,9133.87,"9,098.70","9,133.87","9,026.00",54.16B,0.64%,0.6441582253584155,Naik
2026-01-20,9134.7,"9,156.19","9,174.47","9,120.15",60.64B,0.01%,0.009087057293344358,Naik
2026-01-21,9010.33,"9,094.43","9,105.23","8,977.68",55.32B,-1.36%,-1.3615115986294057,Turun
2026-01-22,8992.18,"9,052.17","9,109.71","8,992.13",66.10B,-0.20%,-0.20143546351798491,Turun
2026-01-23,8951.01,"9,031.49","9,039.67","8,837.83",58.73B,-0.46%,-0.4578422584957109,Turun
2026-01-26,8975.33,"8,967.73","9,058.05","8,923.53",49.18B,0.27%,0.27170118232466844,Naik
2026-01-27,8980.23,"8,974.57","8,980.23","8,873.48",53.60B,0.05%,0.05459409291914685,Naik
2026-01-28,8320.56,"8,393.51","8,596.17","8,187.73",55.71B,-7.35%,-7.345802947140556,Turun
2026-01-29,8232.2,"8,027.83","8,296.94","7,481.99",90.62B,-1.06%,-1.0619477535165789,Turun
2026-01-30,8329.61,"8,308.72","8,408.30","8,167.16",47.86B,1.18%,1.1832802895945127,Naik
2026-02-02,7922.73,"8,306.16","8,313.06","7,820.23",44.50B,-4.88%,-4.884742502950335,Turun
2026-02-03,8122.6,"7,888.77","8,122.60","7,712.35",54.53B,2.52%,2.522741529750494,Naik
2026-02-04,8146.72,"8,121.03","8,194.68","8,050.40",40.46B,0.30%,0.29694925270233874,Naik
2026-02-05,8103.88,"8,154.60","8,214.46","8,102.79",32.36B,-0.53%,-0.5258558045446504,Turun
2026-02-06,7935.26,"7,945.04","8,025.14","7,861.69",31.22B,-2.08%,-2.080731698889915,Turun
2026-02-09,8031.87,"7,970.02","8,031.87","7,863.01",31.02B,1.22%,1.217477436152059,Naik
2026-02-10,8131.74,"8,031.58","8,140.86","8,011.13",37.45B,1.24%,1.2434215195216147,Naik
2026-02-11,8290.97,"8,152.79","8,290.97","8,118.16",54.57B,1.96%,1.958129502418915,Naik
2026-02-12,8265.35,"8,317.24","8,334.02","8,220.15",37.94B,-0.31%,-0.3090108877489506,Turun
2026-02-13,8212.27,"8,240.01","8,251.99","8,170.59",43.44B,-0.64%,-0.6421990599309146,Turun
2026-02-18,8310.23,"8,235.81","8,310.23","8,227.45",45.90B,1.19%,1.1928492365691712,Naik
2026-02-19,8274.08,"8,357.45","8,376.20","8,251.81",43.54B,-0.43%,-0.43500601066396305,Turun
2026-02-20,8271.77,"8,300.22","8,328.42","8,236.75",40.03B,-0.03%,-0.027918511786195754,Turun
2026-02-23,8396.08,"8,334.54","8,397.07","8,327.57",44.31B,1.50%,1.5028222496515253,Naik
2026-02-24,8280.83,"8,428.05","8,437.09","8,259.48",50.97B,-1.37%,-1.3726643862373877,Turun
2026-02-25,8322.23,"8,318.14","8,373.48","8,259.75",44.18B,0.50%,0.4999498842507277,Naik
2026-02-26,8235.26,"8,351.36","8,358.96","8,139.82",45.03B,-1.04%,-1.0450324011713086,Turun
2026-02-27,8235.49,"8,211.30","8,246.95","8,093.75",44.12B,0.00%,0.002792868713297203,Naik
2026-03-02,8016.83,"8,092.90","8,133.69","8,016.83",52.77B,-2.66%,-2.655093989550106,Turun
2026-03-03,7939.77,"8,059.87","8,098.39","7,932.52",39.62B,-0.96%,-0.9612278169800259,Turun
2026-03-04,7577.06,"7,896.38","7,897.81","7,486.32",48.55B,-4.57%,-4.568268350342642,Turun
2026-03-05,7710.54,"7,695.35","7,765.61","7,678.53",30.39B,1.76%,1.7616331400305496,Naik
2026-03-06,7585.69,"7,699.47","7,700.32","7,500.08",29.11B,-1.62%,-1.6192121433777684,Turun
2026-03-09,7337.37,"7,374.31","7,403.73","7,156.68",40.62B,-3.27%,-3.27353213748518,Turun
2026-03-10,7440.91,"7,443.05","7,499.82","7,372.82",30.96B,1.41%,1.411132326705622,Naik
2026-03-11,7389.4,"7,484.77","7,527.32","7,380.81",25.32B,-0.69%,-0.6922540388205278,Turun
2026-03-12,7362.12,"7,398.85","7,436.50","7,323.74",23.44B,-0.37%,-0.369177470430615,Turun
2026-03-13,7137.21,"7,338.82","7,350.28","7,132.21",25.63B,-3.05%,-3.0549624293002564,Turun
2026-03-16,7022.29,"7,115.45","7,120.19","6,917.32",26.42B,-1.61%,-1.6101529869514852,Turun
2026-03-17,7106.84,"7,074.61","7,148.25","7,059.89",22.69B,1.20%,1.2040231890166897,Naik
2026-03-25,7302.12,"7,084.62","7,302.12","7,057.22",34.66B,2.75%,2.747775382589168,Naik
2026-03-26,7164.09,"7,313.67","7,323.70","7,152.59",25.77B,-1.89%,-1.8902729618247793,Turun
2026-03-27,7097.06,"7,136.37","7,154.56","7,070.21",17.19B,-0.94%,-0.9356387203399152,Turun
2026-03-30,7091.67,"7,020.53","7,104.64","6,945.50",22.18B,-0.08%,-0.07594694140954372,Turun
2026-03-31,7048.22,"7,122.99","7,155.55","7,031.10",23.11B,-0.61%,-0.6126906638351692,Turun
2026-04-01,7184.44,"7,149.25","7,207.17","7,136.25",29.54B,1.93%,1.9326865506468227,Naik
2026-04-02,7026.78,"7,153.11","7,161.80","7,019.23",22.53B,-2.19%,-2.1944647042775767,Turun
2026-04-06,6989.43,"7,001.56","7,009.23","6,934.89",25.26B,-0.53%,-0.5315379163713607,Turun
2026-04-07,6971.03,"7,001.28","7,022.04","6,942.63",22.57B,-0.26%,-0.2632546573898109,Turun
2026-04-08,7279.21,"7,162.41","7,281.86","7,118.58",38.00B,4.42%,4.420867504515114,Naik
2026-04-09,7307.59,"7,238.46","7,308.58","7,191.59",25.86B,0.39%,0.38987747296752584,Naik
2026-04-10,7458.5,"7,346.49","7,488.02","7,346.49",35.59B,2.07%,2.0651131221100183,Naik
2026-04-13,7500.19,"7,410.08","7,527.87","7,351.36",37.40B,0.56%,0.5589595763223043,Naik
2026-04-14,7675.95,"7,598.80","7,686.35","7,592.74",48.78B,2.34%,2.343407300348388,Naik
2026-04-15,7623.59,"7,750.90","7,773.58","7,623.59",46.33B,-0.68%,-0.6821305506158781,Turun
2026-04-16,7621.38,"7,663.34","7,705.03","7,575.53",36.50B,-0.03%,-0.02898896714015331,Turun
2026-04-17,7634.0,"7,645.81","7,673.86","7,607.96",35.99B,0.17%,0.165586809737861,Naik
2026-04-20,7594.11,"7,663.40","7,692.15","7,570.42",37.53B,-0.52%,-0.5225307833377046,Turun
2026-04-21,7559.38,"7,560.29","7,568.99","7,511.83",40.56B,-0.46%,-0.4573281134984786,Turun
2026-04-22,7541.61,"7,528.34","7,578.05","7,513.94",45.93B,-0.24%,-0.23507218845990607,Turun
2026-04-23,7378.61,"7,564.42","7,582.50","7,378.61",50.35B,-2.16%,-2.161342206770167,Turun
2026-04-24,7129.49,"7,378.07","7,383.40","7,115.97",41.58B,-3.38%,-3.3762456614457204,Turun
2026-04-27,7106.52,"7,158.51","7,230.03","7,106.52",29.26B,-0.32%,-0.3221829331410686,Turun
2026-04-28,7072.39,"7,128.47","7,151.51","7,032.98",27.29B,-0.48%,-0.4802631949252234,Turun
2026-04-29,7101.23,"7,096.61","7,126.06","7,063.99",39.84B,0.41%,0.40778294183436703,Naik
2026-04-30,6956.8,"7,103.26","7,109.00","6,876.58",45.15B,-2.03%,-2.033873005099107,Turun
2026-05-04,6971.95,"6,988.92","7,069.69","6,946.06",55.33B,0.22%,0.21777253909842642,Naik
2026-05-05,7057.11,"6,968.57","7,069.21","6,921.61",36.49B,1.22%,1.221466017398276,Naik
